timestamp,temperature_c,wind_speed_kmh,rain_mm,spot_price_eur_mwh,timestamp_local
2025-01-01 00:00:00+00:00,-0.6,18.4,0.0,2.47,2025-01-01 01:00:00+01:00
2025-01-01 01:00:00+00:00,0.2,12.7,0.0,2.44,2025-01-01 02:00:00+01:00
2025-01-01 02:00:00+00:00,0.6,5.2,0.1,1.98,2025-01-01 03:00:00+01:00
2025-01-01 03:00:00+00:00,1.2,6.5,0.1,1.79,2025-01-01 04:00:00+01:00
2025-01-01 04:00:00+00:00,1.5,7.6,0.1,2.71,2025-01-01 05:00:00+01:00
2025-01-01 05:00:00+00:00,1.0,6.3,0.1,1.78,2025-01-01 06:00:00+01:00
2025-01-01 06:00:00+00:00,0.7,6.5,0.2,2.03,2025-01-01 07:00:00+01:00
2025-01-01 07:00:00+00:00,0.2,8.6,0.0,2.92,2025-01-01 08:00:00+01:00
2025-01-01 08:00:00+00:00,-0.1,9.0,0.0,3.27,2025-01-01 09:00:00+01:00
2025-01-01 09:00:00+00:00,-0.3,9.1,0.0,4.29,2025-01-01 10:00:00+01:00
2025-01-01 10:00:00+00:00,-0.4,9.8,0.0,4.43,2025-01-01 11:00:00+01:00
2025-01-01 11:00:00+00:00,-0.3,10.6,0.0,4.44,2025-01-01 12:00:00+01:00
2025-01-01 12:00:00+00:00,-0.5,11.5,0.1,4.5,2025-01-01 13:00:00+01:00
2025-01-01 13:00:00+00:00,-1.0,11.0,0.0,5.99,2025-01-01 14:00:00+01:00
2025-01-01 14:00:00+00:00,-1.2,11.2,0.0,12.26,2025-01-01 15:00:00+01:00
2025-01-01 15:00:00+00:00,-1.1,11.6,0.0,18.84,2025-01-01 16:00:00+01:00
2025-01-01 16:00:00+00:00,-1.2,13.7,0.0,20.69,2025-01-01 17:00:00+01:00
2025-01-01 17:00:00+00:00,-1.7,15.8,0.0,16.31,2025-01-01 18:00:00+01:00
2025-01-01 18:00:00+00:00,-2.1,16.1,0.0,10.0,2025-01-01 19:00:00+01:00
2025-01-01 19:00:00+00:00,-2.4,14.6,0.0,8.07,2025-01-01 20:00:00+01:00
2025-01-01 20:00:00+00:00,-2.6,15.7,0.0,6.88,2025-01-01 21:00:00+01:00
2025-01-01 21:00:00+00:00,-3.2,15.3,0.0,9.64,2025-01-01 22:00:00+01:00
2025-01-01 22:00:00+00:00,-3.9,17.0,0.0,7.04,2025-01-01 23:00:00+01:00
2025-01-01 23:00:00+00:00,-5.0,14.7,0.0,3.4,2025-01-02 00:00:00+01:00
2025-01-02 00:00:00+00:00,-5.6,13.8,0.0,3.25,2025-01-02 01:00:00+01:00
2025-01-02 01:00:00+00:00,-6.1,12.7,0.0,4.0,2025-01-02 02:00:00+01:00
2025-01-02 02:00:00+00:00,-6.7,10.9,0.0,6.69,2025-01-02 03:00:00+01:00
2025-01-02 03:00:00+00:00,-6.9,11.4,0.0,10.71,2025-01-02 04:00:00+01:00
2025-01-02 04:00:00+00:00,-6.8,12.4,0.0,17.77,2025-01-02 05:00:00+01:00
2025-01-02 05:00:00+00:00,-6.4,13.9,0.0,40.18,2025-01-02 06:00:00+01:00
2025-01-02 06:00:00+00:00,-6.3,12.2,0.0,93.98,2025-01-02 07:00:00+01:00
2025-01-02 07:00:00+00:00,-6.6,10.6,0.0,118.65,2025-01-02 08:00:00+01:00
2025-01-02 08:00:00+00:00,-6.8,9.2,0.0,124.76,2025-01-02 09:00:00+01:00
2025-01-02 09:00:00+00:00,-6.3,9.7,0.0,123.35,2025-01-02 10:00:00+01:00
2025-01-02 10:00:00+00:00,-5.6,14.0,0.0,110.5,2025-01-02 11:00:00+01:00
2025-01-02 11:00:00+00:00,-5.5,13.2,0.0,100.84,2025-01-02 12:00:00+01:00
2025-01-02 12:00:00+00:00,-5.5,14.0,0.0,106.1,2025-01-02 13:00:00+01:00
2025-01-02 13:00:00+00:00,-5.5,17.8,0.0,112.56,2025-01-02 14:00:00+01:00
2025-01-02 14:00:00+00:00,-5.4,17.7,0.0,127.82,2025-01-02 15:00:00+01:00
2025-01-02 15:00:00+00:00,-5.5,16.0,0.0,135.32,2025-01-02 16:00:00+01:00
2025-01-02 16:00:00+00:00,-5.7,15.0,0.0,150.01,2025-01-02 17:00:00+01:00
2025-01-02 17:00:00+00:00,-6.0,14.7,0.0,147.02,2025-01-02 18:00:00+01:00
2025-01-02 18:00:00+00:00,-6.3,13.3,0.0,108.33,2025-01-02 19:00:00+01:00
2025-01-02 19:00:00+00:00,-6.7,11.4,0.0,103.54,2025-01-02 20:00:00+01:00
2025-01-02 20:00:00+00:00,-6.9,11.4,0.0,76.35,2025-01-02 21:00:00+01:00
2025-01-02 21:00:00+00:00,-7.1,10.9,0.0,61.86,2025-01-02 22:00:00+01:00
2025-01-02 22:00:00+00:00,-7.2,10.7,0.0,49.16,2025-01-02 23:00:00+01:00
2025-01-02 23:00:00+00:00,-7.3,9.6,0.0,43.01,2025-01-03 00:00:00+01:00
2025-01-03 00:00:00+00:00,-7.3,9.4,0.0,38.15,2025-01-03 01:00:00+01:00
2025-01-03 01:00:00+00:00,-6.3,9.6,0.0,35.22,2025-01-03 02:00:00+01:00
2025-01-03 02:00:00+00:00,-6.3,10.7,0.0,33.43,2025-01-03 03:00:00+01:00
2025-01-03 03:00:00+00:00,-6.8,13.2,0.0,29.73,2025-01-03 04:00:00+01:00
2025-01-03 04:00:00+00:00,-7.4,14.9,0.0,30.58,2025-01-03 05:00:00+01:00
2025-01-03 05:00:00+00:00,-7.5,13.5,0.0,38.36,2025-01-03 06:00:00+01:00
2025-01-03 06:00:00+00:00,-7.6,10.7,0.0,52.32,2025-01-03 07:00:00+01:00
2025-01-03 07:00:00+00:00,-8.2,7.4,0.0,80.9,2025-01-03 08:00:00+01:00
2025-01-03 08:00:00+00:00,-10.5,3.8,0.0,80.17,2025-01-03 09:00:00+01:00
2025-01-03 09:00:00+00:00,-10.6,5.2,0.0,76.13,2025-01-03 10:00:00+01:00
2025-01-03 10:00:00+00:00,-9.9,5.1,0.0,68.57,2025-01-03 11:00:00+01:00
